[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 8 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 12 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 13 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 8 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 11 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 8 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 11 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:56] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 3 ms
